"beginTime";"peakTime";"endTime";"classType";"classTypeNumber";"sourceLocation";"lat";"lon";"farestStartDate";"farestEndDate"
"2011-03-08T10:35Z";"2011-03-08T10:44Z";"2011-03-08T10:55Z";"M5.3";35,3;"S17W88";"-17";"-88";NA;NA
"2011-03-09T23:13Z";"2011-03-09T23:23Z";"2011-03-09T23:29Z";"X1.5";41,5;"N11W14";"+11";"-14";NA;NA
"2011-06-07T06:16Z";"2011-06-07T06:41Z";"2011-06-07T06:59Z";"M2.5";32,5;"S22W53";"-22";"-53";NA;NA
"2011-07-30T02:05Z";"2011-07-30T02:09Z";"2011-07-30T02:12Z";"M9.3";39,3;"N16E33";"+16";"+33";NA;NA
"2011-08-03T13:17Z";"2011-08-03T13:48Z";"2011-08-03T14:10Z";"M6.0";36;"N17W29";"+17";"-29";NA;NA
"2011-08-04T03:41Z";"2011-08-04T03:57Z";"2011-08-04T04:04Z";"M9.3";39,3;"N15W39";"+15";"-39";NA;NA
"2011-08-09T07:48Z";"2011-08-09T08:05Z";"2011-08-09T08:08Z";"X6.9";46,9;"N17W69";"+17";"-69";NA;NA
"2011-09-06T01:35Z";"2011-09-06T01:50Z";"2011-09-06T02:05Z";"M5.3";35,3;"N14W04";"+14";"-04";NA;NA
"2011-09-06T22:12Z";"2011-09-06T22:20Z";"2011-09-06T22:24Z";"X2.1";42,1;"N14W17";"+14";"-17";NA;NA
"2011-09-07T22:32Z";"2011-09-07T22:38Z";"2011-09-07T22:44Z";"X1.8";41,8;"N15W31";"+15";"-31";NA;NA
"2011-09-08T15:32Z";"2011-09-08T15:46Z";"2011-09-08T15:52Z";"M6.7";36,7;"N15W40";"+15";"-40";NA;NA
"2011-09-22T10:29Z";"2011-09-22T11:01Z";"2011-09-22T11:44Z";"X1.4";41,4;"N09E89";"+09";"+89";NA;NA
"2011-09-24T09:21Z";"2011-09-24T09:40Z";"2011-09-24T09:48Z";"X1.9";41,9;"N13E61";"+13";"+61";NA;NA
"2011-09-24T12:33Z";"2011-09-24T13:20Z";"2011-09-24T14:10Z";"M7.1";37,1;"N13E58";"+13";"+58";NA;NA
"2011-09-24T20:29Z";"2011-09-24T20:36Z";"2011-09-24T20:42Z";"M5.8";35,8;"N13E55";"+13";"+55";NA;NA
"2011-09-25T04:31Z";"2011-09-25T04:50Z";"2011-09-25T05:05Z";"M8.8";38,8;"N11E47";"+11";"+47";NA;NA
"2011-11-03T20:16Z";"2011-11-03T20:27Z";"2011-11-03T20:32Z";"X1.9";41,9;"N18E51";"+18";"+51";NA;NA
"2012-01-23T03:38Z";"2012-01-23T03:59Z";"2012-01-23T04:34Z";"M8.7";38,7;"N28W20";"+28";"-20";NA;NA
"2012-01-27T17:37Z";"2012-01-27T18:37Z";"2012-01-27T18:56Z";"X1.8";41,8;"N31W90";"+31";"-90";NA;NA
"2012-03-05T03:30Z";"2012-03-05T04:05Z";"2012-03-05T04:43Z";"X1.1";41,1;"N19W58";"+19";"-58";NA;NA
"2012-03-07T00:02Z";"2012-03-07T00:24Z";"2012-03-07T00:40Z";"X5.4";45,4;"N18E31";"+18";"+31";NA;NA
"2012-03-07T01:05Z";"2012-03-07T01:14Z";"2012-03-07T01:23Z";"X1.3";41,3;"N17E27";"+17";"+27";NA;NA
"2012-03-09T03:22Z";"2012-03-09T03:53Z";"2012-03-09T04:18Z";"M6.3";36,3;"N17E02";"+17";"+02";NA;NA
"2012-03-10T14:43Z";"2012-03-10T15:52Z";"2012-03-10T16:16Z";"C8.0";28;"N20W39";"+20";"-39";NA;NA
"2012-03-10T17:15Z";"2012-03-10T17:27Z";"2012-03-10T17:32Z";"M5.4";35,4;"N18W22";"+18";"-22";NA;NA
"2012-03-10T17:32Z";"2012-03-10T17:44Z";"2012-03-10T18:30Z";"M8.4";38,4;"N18W22";"+18";"-22";NA;NA
